espagnol,francais
nombre,nom
buen,bien
había,il y avait
ven,venti
tres,trois
menos,pas moins
debe,devoir
tenía,J'avais
mal,fois
conmigo,avec moi
madre,mère
hoy,aujourd'hui
quien,qui
sido,a été
mamá,maman
tienen,ont
luego,alors
todas,tout
allí,là bas
toda,tout
hora,heure
mujer,Femme
visto,voir
haces,tu fais
importa,Cela compte
contigo,avec vous
ve,ve
tarde,après midi
oye,comprendre
parte,partie
haber,avoir
hombres,Pour des hommes
problema,problème
mas,mais
saber,connaître
quería,recherché
aún,même
veces,fois
nuestra,notre
hacerlo,fais le
cada,chaque
hizo,Ceux
veo,Je vois
tanto,tellement de
razón,raison
ustedes,ton
idea,idée
esos,ceux
van,de
quizá,Peut-être
debo,je vais
alguna,quelque
cierto,certain
ud,dehors
muerto,morte
unos,quelques
estos,ces
salir,sortir
policía,policier
realmente,vraiment
demasiado,aussi
familia,famille
pueden,ils peuvent
cabeza,Tête
hemos,Nous avons
amigos,copains
chica,fille
cariño,affection
lado,côté
allá,là
entre,entre
minutos,minute
digo,je dis
algún,quelques
serio,serieux
cuidado,mise en garde
pasó,je passe
buenas,bien
somos,sommes
amor,aimer
puerta,portail
ves,connaître
vaya,wow
ah,Comme
suerte,chance
eh,Eh
rápido,vite
cuenta,compte
quizás,peut être
esas,ceux
pues,bien
pasado,passé
pensé,pensé
todavía,encore
hermano,frère
debes,tu devrais
casi,presque
forma,formulaire
aqui,ici
chico,chico
ok,d'accord
dicho,en disant
nueva,Nouveau
sabía,je savais
muchas,de nombreux
dentro,à l'intérieur
hice,Je l'ai fait
contra,contre
auto,auto
camino,route
ayuda,aide
primera,première
hacia,envers
vi,nous
miedo,craindre
adiós,adieu
primero,premier
debería,devrait
poder,pouvoir
niños,des gamins
sería,serieuse
historia,l'histoire
hey,hé
mientras,alors que
ciudad,ville
dijiste,a dit
espero,attendre
cuánto,combien
esposa,épouse
pronto,prêt
chicos,Garçons
cualquier,n'importe quel
viejo,Agé de
debemos,devoir
deja,déjà
año,an
muerte,décès
hablando,en parlant
manos,mains
da,et
loco,place
problemas,problèmes
mano,mille
guerra,guerre
semana,la semaine
pasar,marché
vale,Vallée
cuál,qui
viene,il vient
volver,revenir
toma,prise
caso,Cas
agua,Eau
haré,je ferai
vete,soi
entiendo,Je comprends
horas,heures
personas,personnes
capitán,capitaine
adelante,avant
niño,petit garçon
listo,Liste
noches,nuits
buenos,bons
iba,Autre
juntos,ensemble
dame,dame
único,Célibataire
déjame,laisse moi
cerca,clôture
otros,les autres
sigue,suivre
grande,génial
arriba,en haut
jefe,chef
habla,parole
supongo,Je suppose
manera,façon
quieren,Ils veulent
feliz,heureux
significa,moyens
sangre,du sang
fin,fin
bajo,bas
llama,appelle
venir,venir
morir,Mourir
importante,important
hiciste,a fait
ojos,les yeux
escucha,Ecoutez
entrar,connexion
ningún,rien
corazón,coeur
diablos,les diables
necesitamos,Nous avons besoin
atrás,retour
durante,durant
dices,Vous dites
nuestros,notre
persona,la personne
abajo,vers le bas
dr,dr
hija,ce
dejar,laisser
necesita,a besoin de
llegar,arriver
hago,je fais
señora,Madame
haya,ces
suficiente,suffisant
doctor,docteur
gustaría,aimerait
tierra,Terre
cara,méthode
siquiera,même
genial,génial
cree,Croire
supuesto,censé
tomar,prendre
equipo,équipe
justo,juste
juego,jouer
ninguna,rien
matar,femme
cinco,cinq
dicen,Ils disent
amo,amorce
cuándo,lorsque
pequeño,peu
algunos,Quelques
conozco,connaître
clase,classe
maldito,allez au diable
unas,clou
muchos,De nombreux
hubiera,avais
segundo,deuxième
aunque,même si
pueda,je peux
dime,dîme
igual,égal
comida,aliments
ay,Oui
cuerpo,Corps
encontrar,rencontrer
fuerte,fort
vuelta,tour
venga,viens
creer,croire
realidad,réalité
saben,par
puta,la trappe
deberías,tu devrais
